name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,early_to_mid_percent_increase,rank_salary_potential_state
College of William and Mary,Virginia,59000,108900,42,21,0.846,5
Colorado Christian University,Colorado,46800,80100,70,2,0.712,17
Colorado College,Colorado,53100,97900,48,23,0.844,5
Colorado Mesa University,Colorado,47800,81500,55,7,0.705,14
Colorado School of Mines,Colorado,75600,139600,60,93,0.847,1
Colorado State University-Fort Collins,Colorado,53500,96100,51,28,0.796,6
Colorado State University-Pueblo,Colorado,48100,87600,62,13,0.821,10
Columbia College (Missouri),Missouri,44100,76600,52,2,0.737,25
Columbia College (South Carolina),South-Carolina,39200,68300,56,6,0.742,23
Columbia International University,South-Carolina,36600,66200,62,0,0.809,25
Columbia University in the City of New York,New-York,71400,126800,45,30,0.776,10
Columbus State University,Georgia,43300,77900,59,10,0.799,25
Concord University,West-Virginia,41700,75800,53,9,0.818,13
Concordia College at Moorhead,Minnesota,46800,85200,63,21,0.821,23
Concordia University-Nebraska,Nebraska,39700,68900,48,5,0.736,19
Concordia University-Portland,Oregon,48000,86100,69,1,0.794,14
Concordia University-Saint Paul,Minnesota,49200,86800,58,5,0.764,16
Concordia University-Wisconsin,Wisconsin,46700,81600,61,9,0.747,23
Connecticut College,Connecticut,57500,100800,36,30,0.753,8
Converse College,South-Carolina,39000,71000,60,8,0.821,21
Cooper Union for the Advancement of Science and Art,New-York,68500,126200,46,56,0.842,11
Corban University,Oregon,42500,77300,63,1,0.819,21
Cornell College,Iowa,49600,90600,47,22,0.827,6
Cornell University,New-York,70100,128200,45,43,0.829,9
Cornish College of the Arts,Washington,49000,86400,39,0,0.763,21
Covenant College,Georgia,44400,79400,62,19,0.788,24
Creighton University,Nebraska,53500,95800,56,9,0.791,2
Cumberland University,Tennessee,45500,81000,61,3,0.78,16
Dakota State University,South-Dakota,48400,84300,49,53,0.742,5
Dakota Wesleyan University,South-Dakota,41800,75700,52,10,0.811,9
Dartmouth College,New-Hampshire,71500,130900,44,35,0.831,1
Davidson College,North-Carolina,57300,106900,50,28,0.866,3
Davis & Elkins College,West-Virginia,41100,76500,43,10,0.861,11
Delaware State University,Delaware,46300,81900,62,10,0.769,3
Delta State University,Mississippi,40800,74200,63,5,0.819,8
Denison University,Ohio,54400,104800,45,22,0.926,5
DePaul University,Illinois,55700,102900,43,15,0.847,8
DePauw University,Indiana,56600,101000,47,24,0.784,5
Dickinson College,Pennsylvania,55800,100100,46,25,0.794,21
Dickinson State University,North-Dakota,46400,81200,55,8,0.75,5
Dillard University,Louisiana,44700,79800,74,20,0.785,17
Doane University-Arts & Sciences,Nebraska,47300,85300,51,21,0.803,9
Doane University-Graduate and Professional Studies,Nebraska,43200,77000,54,0,0.782,15
Dordt College,Iowa,51000,89600,57,17,0.757,8
Drake University,Iowa,52800,99900,49,7,0.892,2
Drew University,New-Jersey,52800,95000,37,16,0.799,16
Drexel University,Pennsylvania,61700,114800,47,28,0.861,9
Drury University,Missouri,42600,79400,60,12,0.864,19
Duke University,North-Carolina,71100,132100,50,26,0.858,1
Dunwoody College of Technology,Minnesota,53400,96600,55,24,0.809,8
Earlham College,Indiana,49100,88400,57,31,0.8,13
East Carolina University,North-Carolina,48400,85400,55,11,0.764,11
East Central University,Oklahoma,44700,77500,66,9,0.734,17
East Tennessee State University,Tennessee,43700,77300,57,8,0.769,22
Eastern Connecticut State University,Connecticut,49200,87800,43,14,0.785,17
Eastern Kentucky University,Kentucky,45600,80700,56,5,0.77,11
Eastern Michigan University,Michigan,47300,86700,50,6,0.833,18
Eastern New Mexico University-Main Campus,New-Mexico,44500,80500,61,5,0.809,4
Eastern Oregon University,Oregon,44000,73900,56,5,0.68,23
Eastern Washington University,Washington,49500,87500,52,17,0.768,20
Eckerd College,Florida,49200,88400,52,25,0.797,17
Edgewood College,Wisconsin,49500,87500,54,5,0.768,15
Elon University,North-Carolina,53600,93700,43,7,0.748,6
Embry-Riddle Aeronautical University-Daytona Beach,Florida,63300,111200,58,35,0.757,1
Embry-Riddle Aeronautical University-Prescott,Arizona,65600,117900,59,43,0.797,1
Embry-Riddle Aeronautical University-Worldwide,Florida,55800,96800,67,3,0.735,7
Emory University,Georgia,62000,110800,44,20,0.787,2
Emporia State University,Kansas,43500,78000,60,9,0.793,19
Erskine College,South-Carolina,43500,78000,57,28,0.793,12
Fairfield University,Connecticut,62300,116900,41,17,0.876,4
Fairleigh Dickinson University-Florham Campus,New-Jersey,53700,98500,42,6,0.834,9
Fairleigh Dickinson University-Florham Campus,New-Jersey,53700,98500,42,6,0.834,9
Fairleigh Dickinson University-Metropolitan Campus,New-Jersey,50800,93000,43,23,0.831,19
Fairmont State University,West-Virginia,42900,74100,53,7,0.727,14
Faulkner University,Alabama,39400,71300,61,2,0.81,21
Felician University,New-Jersey,53200,98200,51,10,0.846,11
Ferris State University,Michigan,50000,89300,50,8,0.786,17
Ferrum College,Virginia,43000,80600,54,6,0.874,25
Fisk University,Tennessee,45300,83600,53,39,0.845,11
Florida Agricultural and Mechanical University,Florida,48000,83900,62,8,0.748,25
Florida Atlantic University,Florida,49400,91200,51,15,0.846,11
Florida Institute of Technology,Florida,58300,105400,53,48,0.808,3
Florida International University,Florida,49600,90100,51,16,0.817,13
Florida State University,Florida,50800,92700,49,18,0.825,8
Fordham University,New-York,58700,112500,38,10,0.917,17
Fort Hays State University,Kansas,45100,79300,64,6,0.758,16
Fort Lewis College,Colorado,48300,82600,55,19,0.71,13
Francis Marion University,South-Carolina,42900,77600,58,18,0.809,13
Franciscan Missionaries of Our Lady University,Louisiana,51200,90900,87,1,0.775,8
Franklin and Marshall College,Pennsylvania,57200,109700,42,23,0.918,11
Franklin College,Indiana,48900,86200,45,21,0.763,16
Franklin Pierce University,New-Hampshire,47800,85600,52,3,0.791,7
Freed-Hardeman University,Tennessee,43700,78200,54,9,0.789,20
Friends University,Kansas,44700,76500,59,14,0.711,21
Frostburg State University,Maryland,49600,87000,48,19,0.754,21
Furman,South-Carolina,52100,98800,48,16,0.896,3
George Fox University,Oregon,51200,89600,52,8,0.75,13
George Mason University,Virginia,58900,105700,48,23,0.795,8
Georgetown College,Kentucky,45000,81900,54,10,0.82,9
Georgia College & State University,Georgia,45300,80300,51,12,0.773,20
Georgia Institute of Technology-Main Campus,Georgia,72700,133400,48,80,0.835,1
Georgia Southern University,Georgia,49000,88000,49,17,0.796,8
Georgia State University,Georgia,50600,90800,47,18,0.794,7
Gettysburg College,Pennsylvania,58400,109300,39,24,0.872,12
Glenville State College,West-Virginia,37400,67700,60,3,0.81,17
Goddard College,Vermont,42700,76900,0,0,0.801,10
Golden Gate University-San Francisco,California,59200,109800,49,3,0.855,24
Goldey-Beacom College,Delaware,49800,86900,42,25,0.745,2
Gonzaga University,Washington,57800,107600,51,19,0.862,4
Goucher College,Maryland,49400,90600,42,11,0.834,17
Graceland University-Lamoni,Iowa,48300,88700,66,5,0.836,10
Grambling State University,Louisiana,43100,73100,66,10,0.696,21
Granite State College,New-Hampshire,43500,76900,67,3,0.768,13
Green Mountain College,Vermont,42000,75200,57,2,0.79,12
Grinnell College,Iowa,53400,96500,49,41,0.807,4
Grove City College,Pennsylvania,54400,98400,53,29,0.809,24
Gustavus Adolphus College,Minnesota,51200,96800,47,22,0.891,7
Hamilton College,New-York,62600,108100,45,25,0.727,23
Hamline University,Minnesota,48100,90400,52,5,0.879,14
Hampden-Sydney College,Virginia,58300,108600,52,20,0.863,6
Hampton University,Virginia,52700,92600,61,12,0.757,13
Hanover College,Indiana,47500,85100,53,24,0.792,18
Harding University,Arkansas,49200,88600,47,10,0.801,4
Harvard University,Massachusetts,74800,146800,54,19,0.963,2
Harvey Mudd College,California,88800,158200,55,85,0.782,1
Hastings College,Nebraska,48600,87100,55,14,0.792,8
Haverford College,Pennsylvania,59300,112300,47,36,0.894,10
Hawaii Pacific University,Hawaii,52200,93500,56,15,0.791,2
Henderson State University,Arkansas,42900,79800,57,5,0.86,10
Hendrix College,Arkansas,48100,90300,58,33,0.877,2
Heritage University,Washington,41100,73600,0,17,0.791,25
High Point University,North-Carolina,48600,84300,50,8,0.735,12
