name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,early_to_mid_percent_increase,rank_salary_potential_state
West Virginia University,West-Virginia,54400,99900,52,22,0.836,2
West Virginia University at Parkersburg,West-Virginia,36700,65200,67,3,0.777,18
West Virginia University Institute of Technology,West-Virginia,57100,103700,56,40,0.816,1
West Virginia Wesleyan College,West-Virginia,47000,85200,53,21,0.813,5
Western Carolina University,North-Carolina,44700,77700,58,8,0.738,25
Western Connecticut State University,Connecticut,51700,88100,50,6,0.704,15
Western Governors University,Utah,54500,91500,57,9,0.679,6
Western Kentucky University,Kentucky,45500,83100,49,10,0.826,8
Western Michigan University,Michigan,50900,92200,47,16,0.811,11
Western New England University,Massachusetts,56400,103000,44,21,0.826,20
Western New Mexico University,New-Mexico,41700,76700,75,4,0.839,5
Western Oregon University,Oregon,44500,79300,50,5,0.782,20
Western State Colorado University,Colorado,44800,81500,47,19,0.819,14
Western Washington University,Washington,55000,99300,45,16,0.805,9
Westminster College (Missouri),Missouri,49400,91600,52,25,0.854,8
Westminster College (Utah),Utah,51700,92200,55,10,0.783,5
Wheaton College (Illinois),Illinois,53700,99700,55,12,0.857,11
Wheaton College (Massachusetts),Massachusetts,52600,97500,46,28,0.854,25
Wheeling Jesuit University,West-Virginia,44800,83400,57,5,0.862,7
Whitman College,Washington,54600,102600,53,33,0.879,7
Whitworth University,Washington,49900,88800,52,18,0.78,17
Whitworth University-Adult Degree Programs,Washington,50100,88100,0,0,0.758,19
Wichita State University,Kansas,48700,87300,57,24,0.793,7
Widener University,Pennsylvania,55700,100100,57,13,0.797,21
Willamette University,Oregon,52200,97700,49,14,0.872,6
William Carey University,Mississippi,41100,71800,61,6,0.747,9
William Jewell College,Missouri,51400,94500,60,12,0.839,6
William Paterson University of New Jersey,New-Jersey,50500,90200,44,7,0.786,21
William Penn University,Iowa,43900,78300,59,7,0.784,23
Williams College,Massachusetts,67500,127500,47,32,0.889,5
Wilmington University,Delaware,45100,76600,50,4,0.698,5
Winona State University,Minnesota,49700,86800,51,10,0.746,16
Winthrop University,South-Carolina,44300,79700,49,9,0.799,11
Wisconsin Lutheran College,Wisconsin,46200,82500,45,10,0.786,20
Wittenberg University,Ohio,52400,105400,61,22,1.011,3
Wofford College,South-Carolina,51300,96600,51,28,0.883,4
Worcester Polytechnic Institute,Massachusetts,73600,135500,47,86,0.841,3
Wright State University-Main Campus,Ohio,50300,87800,49,31,0.746,24
Xavier University,Ohio,51800,94000,46,7,0.815,16
Xavier University of Louisiana,Louisiana,46700,88200,63,35,0.889,11
Yale University,Connecticut,70300,138300,53,22,0.967,1
Yeshiva University,New-York,63500,112800,40,11,0.776,15
